state,name,mean_work_travel_2010,mean_work_travel_2017,delta_work_travel
Alaska,Kodiak Island Borough,13.4,10.5,-2.9
Alaska,Kusilvak Census Area,5.4,0,-5.4
Alaska,Lake and Peninsula Borough,6.3,6.7,0.4
Alaska,Matanuska-Susitna Borough,33.4,34.5,1.1
Alaska,Nome Census Area,5.9,7,1.1
Alaska,North Slope Borough,5.4,6.1,0.7
Alaska,Northwest Arctic Borough,7.4,6.5,-0.9
Alaska,Petersburg Borough,8.5,7.7,-0.8
Alaska,Prince of Wales-Hyder Census Area,14.2,16,1.8
Alaska,Sitka City and Borough,10.1,10.4,0.3
Alaska,Skagway,4.6,6.1,1.5
Alaska,Southeast Fairbanks Census Area,16.6,13.4,-3.2
Alaska,Valdez-Cordova Census Area,14.3,11,-3.3
Alaska,Wrangell,13.4,9.4,-4
Alaska,Yakutat City and Borough,6.3,6.5,0.2
Alaska,Yukon-Koyukuk Census Area,7.7,8.4,0.7
Arizona,Apache County,26.4,26.7,0.3
Arizona,Cochise County,19.5,20.5,1
Arizona,Coconino County,18,18.4,0.4
Arizona,Gila County,18.9,18.7,-0.2
Arizona,Graham County,19.6,20.9,1.3
Arizona,Greenlee County,14.8,17.8,3
Arizona,La Paz County,14.6,12.9,-1.7
Arizona,Maricopa County,25.7,25.8,0.1
Arizona,Mohave County,19.4,20.4,1
Arizona,Navajo County,21.8,21.6,-0.2
Arizona,Pima County,23.9,24.5,0.6
Arizona,Pinal County,32.4,31,-1.4
Arizona,Santa Cruz County,19,23.5,4.5
Arizona,Yavapai County,21.7,23.2,1.5
Arizona,Yuma County,19.1,19.6,0.5
Arkansas,Arkansas County,14.7,14.6,-0.1
Arkansas,Ashley County,18.6,20.4,1.8
Arkansas,Baxter County,17.1,16.4,-0.7
Arkansas,Benton County,20.8,19.9,-0.9
Arkansas,Boone County,19.7,19.4,-0.3
Arkansas,Bradley County,17.2,22,4.8
Arkansas,Calhoun County,26.1,24.4,-1.7
Arkansas,Carroll County,19.1,19.8,0.7
Arkansas,Chicot County,21,21.8,0.8
Arkansas,Clark County,21,21.3,0.3
Arkansas,Clay County,22.6,23.3,0.7
Arkansas,Cleburne County,23.9,26.1,2.2
Arkansas,Cleveland County,26.2,29.6,3.4
Arkansas,Columbia County,17.9,17.3,-0.6
Arkansas,Conway County,23.8,25.8,2
Arkansas,Craighead County,17.8,18.5,0.7
Arkansas,Crawford County,21.1,22.4,1.3
Arkansas,Crittenden County,21.1,19.9,-1.2
Arkansas,Cross County,23.1,23.9,0.8
Arkansas,Dallas County,19.6,27.5,7.9
Arkansas,Desha County,21.4,19.3,-2.1
Arkansas,Drew County,22.2,21.7,-0.5
Arkansas,Faulkner County,24.8,24,-0.8
Arkansas,Franklin County,24.6,26.8,2.2
Arkansas,Fulton County,24,23.3,-0.7
Arkansas,Garland County,22.3,21.9,-0.4
Arkansas,Grant County,28.6,29.7,1.1
Arkansas,Greene County,19.6,20.3,0.7
Arkansas,Hempstead County,19.8,19.9,0.1
Arkansas,Hot Spring County,26.8,26.1,-0.7
Arkansas,Howard County,18.5,20.2,1.7
Arkansas,Independence County,20.9,18.9,-2
Arkansas,Izard County,24,20.5,-3.5
Arkansas,Jackson County,18.6,19.1,0.5
Arkansas,Jefferson County,21.3,20.9,-0.4
Arkansas,Johnson County,19.5,20.5,1
Arkansas,Lafayette County,23,25.1,2.1
Arkansas,Lawrence County,25.9,26.1,0.2
Arkansas,Lee County,18.7,20.8,2.1
Arkansas,Lincoln County,24.1,25.1,1
Arkansas,Little River County,24.7,24.8,0.1
Arkansas,Logan County,27.5,25.6,-1.9
Arkansas,Lonoke County,26.1,27.3,1.2
Arkansas,Madison County,28.8,31.7,2.9
Arkansas,Marion County,21.6,22.1,0.5
Arkansas,Miller County,19.4,18.4,-1
Arkansas,Mississippi County,18.1,17.8,-0.3
Arkansas,Monroe County,20.3,22,1.7
Arkansas,Montgomery County,27.2,30,2.8
Arkansas,Nevada County,23.8,29.9,6.1
Arkansas,Newton County,34.5,30.5,-4
Arkansas,Ouachita County,20.2,22.2,2
Arkansas,Perry County,31.9,33.3,1.4
Arkansas,Phillips County,18.5,18.2,-0.3
Arkansas,Pike County,26.8,27.7,0.9
Arkansas,Poinsett County,22.2,24,1.8
Arkansas,Polk County,20,23,3
Arkansas,Pope County,19.1,18.5,-0.6
Arkansas,Prairie County,22.9,26.8,3.9
Arkansas,Pulaski County,19.2,20.3,1.1
Arkansas,Randolph County,27.4,28.6,1.2
Arkansas,St. Francis County,19.8,19.7,-0.1
Arkansas,Saline County,24.8,26.1,1.3
Arkansas,Scott County,23.2,19.7,-3.5
Arkansas,Searcy County,25.8,28.9,3.1
Arkansas,Sebastian County,17.5,19,1.5
Arkansas,Sevier County,19,25.8,6.8
Arkansas,Sharp County,27.2,25,-2.2
Arkansas,Stone County,19.1,23.3,4.2
Arkansas,Union County,17.6,19,1.4
Arkansas,Van Buren County,29.2,27.9,-1.3
Arkansas,Washington County,20.3,21.5,1.2
Arkansas,White County,22,24,2
Arkansas,Woodruff County,16.5,18.1,1.6
Arkansas,Yell County,22.5,20.8,-1.7
California,Alameda County,27.9,32.5,4.6
California,Alpine County,23.1,21.9,-1.2
California,Amador County,28.9,32,3.1
California,Butte County,20.8,20.1,-0.7
California,Calaveras County,37.2,35.5,-1.7
California,Colusa County,22.4,24.7,2.3
California,Contra Costa County,32,37.1,5.1
California,Del Norte County,14.9,14.4,-0.5
California,El Dorado County,29.4,29.1,-0.3
California,Fresno County,21.5,22.4,0.9
California,Glenn County,20.5,24,3.5
California,Humboldt County,17.9,18.2,0.3
California,Imperial County,19.2,20.8,1.6
California,Inyo County,17.2,16.9,-0.3
California,Kern County,23.2,23.4,0.2
California,Kings County,20.9,22.4,1.5
California,Lake County,27.8,28.9,1.1
California,Lassen County,17.9,20.9,3
California,Los Angeles County,29,30.9,1.9
California,Madera County,26.9,25.6,-1.3
California,Marin County,28.2,31.7,3.5
California,Mariposa County,35.2,30.9,-4.3
California,Mendocino County,19.2,19.8,0.6
California,Merced County,25.6,27,1.4
California,Modoc County,18.2,15.2,-3
California,Mono County,18.4,16.1,-2.3
California,Monterey County,22,22.4,0.4
California,Napa County,24.1,24.1,0
California,Nevada County,24.1,24.5,0.4
California,Orange County,25.9,27.4,1.5
California,Placer County,27,27.3,0.3
California,Plumas County,20.6,21.9,1.3
California,Riverside County,31.7,33.1,1.4
California,Sacramento County,25.8,26.9,1.1
California,San Benito County,30.6,34.1,3.5
California,San Bernardino County,29.3,30.9,1.6
California,San Diego County,24.6,25.7,1.1
California,San Francisco County,29.4,32.8,3.4
California,San Joaquin County,29.7,32,2.3
California,San Luis Obispo County,20.3,21.8,1.5
California,San Mateo County,25,28.2,3.2
California,Santa Barbara County,19.5,19.4,-0.1
California,Santa Clara County,24.2,28,3.8
California,Santa Cruz County,25.7,26.8,1.1
California,Shasta County,19.4,19.9,0.5
California,Sierra County,27.4,29.6,2.2
California,Siskiyou County,19.5,18.9,-0.6
California,Solano County,29.5,31.8,2.3
California,Sonoma County,25.1,25.2,0.1
California,Stanislaus County,26.5,28.2,1.7
California,Sutter County,27.9,26.4,-1.5
California,Tehama County,22.7,23.5,0.8
California,Trinity County,20.9,17.4,-3.5
California,Tulare County,20.9,22.5,1.6
California,Tuolumne County,25.8,27,1.2
California,Ventura County,25.4,26.6,1.2
California,Yolo County,21.3,23.2,1.9
California,Yuba County,28.8,30.7,1.9
Colorado,Adams County,28.4,29.2,0.8
Colorado,Alamosa County,14,14.6,0.6
Colorado,Arapahoe County,26.6,27.7,1.1
Colorado,Archuleta County,18.9,17.2,-1.7
Colorado,Baca County,12.3,14.5,2.2
Colorado,Bent County,23.2,20.1,-3.1
Colorado,Boulder County,21.7,22.7,1
Colorado,Broomfield County,26.8,27.9,1.1
Colorado,Chaffee County,15.3,17.5,2.2
Colorado,Cheyenne County,13.8,12.6,-1.2
Colorado,Clear Creek County,28.7,30.3,1.6
Colorado,Conejos County,24.4,21.6,-2.8
Colorado,Costilla County,22.1,18.1,-4
Colorado,Crowley County,24.6,23.1,-1.5
Colorado,Custer County,29.1,27.1,-2
Colorado,Delta County,24,24.3,0.3
Colorado,Denver County,24.6,25.3,0.7
Colorado,Dolores County,18.9,19.2,0.3
Colorado,Douglas County,27.2,27.6,0.4
Colorado,Eagle County,19.9,22.3,2.4
Colorado,Elbert County,41,40.4,-0.6
Colorado,El Paso County,21.8,23,1.2
Colorado,Fremont County,23.5,22.7,-0.8
Colorado,Garfield County,28.5,31.6,3.1
Colorado,Gilpin County,34.1,36.6,2.5
Colorado,Grand County,18.6,22.2,3.6
Colorado,Gunnison County,12.5,14.2,1.7
Colorado,Hinsdale County,5.7,12.3,6.6
Colorado,Huerfano County,23.2,20.8,-2.4
Colorado,Jackson County,18.8,28.9,10.1
Colorado,Jefferson County,25.9,27.5,1.6
Colorado,Kiowa County,16.4,16.3,-0.1
Colorado,Kit Carson County,12.8,12.1,-0.7
Colorado,Lake County,33.3,28.6,-4.7
Colorado,La Plata County,20.3,21.4,1.1
Colorado,Larimer County,22,22.8,0.8
Colorado,Las Animas County,21.6,20.6,-1
Colorado,Lincoln County,17.1,17.3,0.2
Colorado,Logan County,17.1,19.2,2.1
Colorado,Mesa County,20.6,20.2,-0.4
Colorado,Mineral County,11.7,14,2.3
Colorado,Moffat County,25.1,22,-3.1
Colorado,Montezuma County,22.8,22,-0.8
Colorado,Montrose County,21.4,17.8,-3.6
Colorado,Morgan County,15.9,17.6,1.7
Colorado,Otero County,16.2,16.2,0
Colorado,Ouray County,23.4,26.8,3.4
Colorado,Park County,41.1,40.9,-0.2
Colorado,Phillips County,15.9,15.8,-0.1
Colorado,Pitkin County,19,17.5,-1.5
Colorado,Prowers County,14.3,13.8,-0.5
Colorado,Pueblo County,20.4,21.8,1.4
Colorado,Rio Blanco County,19.4,17.3,-2.1
Colorado,Rio Grande County,19,17.4,-1.6
Colorado,Routt County,17.8,17.9,0.1
Colorado,Saguache County,18.9,18.8,-0.1
Colorado,San Juan County,14.5,12.3,-2.2
Colorado,San Miguel County,16.7,19.1,2.4
Colorado,Sedgwick County,21.4,20.6,-0.8
Colorado,Summit County,16.4,16.4,0
Colorado,Teller County,32.7,32.6,-0.1
Colorado,Washington County,21,24,3
Colorado,Weld County,25.2,26.7,1.5
Colorado,Yuma County,16.4,15.7,-0.7
Connecticut,Fairfield County,28,30.4,2.4
Connecticut,Hartford County,21.9,23,1.1
Connecticut,Litchfield County,26.8,27.4,0.6
Connecticut,Middlesex County,24.2,26.1,1.9
Connecticut,New Haven County,23.9,24.9,1
Connecticut,New London County,22.4,23.4,1
Connecticut,Tolland County,25.3,26.3,1
Connecticut,Windham County,25.9,26.3,0.4
Delaware,Kent County,24.2,26.3,2.1
Delaware,New Castle County,24.4,25.7,1.3
Delaware,Sussex County,23.5,25.3,1.8
District of Columbia,District of Columbia,29.3,30,0.7
Florida,Alachua County,20.4,21.2,0.8
Florida,Baker County,30.3,29.9,-0.4
Florida,Bay County,20.9,22.8,1.9
Florida,Bradford County,24.6,31.1,6.5
Florida,Brevard County,23.6,24.5,0.9
Florida,Broward County,26.8,28.2,1.4
Florida,Calhoun County,27.6,26.8,-0.8
Florida,Charlotte County,23.5,24.7,1.2
Florida,Citrus County,25.6,25.3,-0.3
Florida,Clay County,32.1,33.3,1.2
Florida,Collier County,23.6,24.5,0.9
Florida,Columbia County,21.3,24.8,3.5
Florida,DeSoto County,24.7,24.7,0
Florida,Dixie County,23.2,26.7,3.5
Florida,Duval County,23.4,24.5,1.1
Florida,Escambia County,21.8,21.9,0.1
Florida,Flagler County,24.4,25.7,1.3
Florida,Franklin County,20.3,19.3,-1
Florida,Gadsden County,29.1,30.2,1.1
Florida,Gilchrist County,32.8,32.8,0
Florida,Glades County,27.6,25.3,-2.3
Florida,Gulf County,25.9,22.4,-3.5
Florida,Hamilton County,25.5,23.4,-2.1
Florida,Hardee County,25.8,23.9,-1.9
Florida,Hendry County,28.5,29.4,0.9
Florida,Hernando County,30.2,29.6,-0.6
Florida,Highlands County,22,20.4,-1.6
Florida,Hillsborough County,25.6,27.3,1.7
Florida,Holmes County,28.3,28.2,-0.1
Florida,Indian River County,21.7,22.4,0.7
Florida,Jackson County,23.5,23,-0.5
Florida,Jefferson County,25.7,28.7,3
Florida,Lafayette County,26.7,27.2,0.5
Florida,Lake County,27.8,28.8,1
Florida,Lee County,26,27.2,1.2
Florida,Leon County,20,20.8,0.8
Florida,Levy County,29.4,30,0.6
Florida,Liberty County,23.4,33,9.6
Florida,Madison County,25.1,27,1.9
Florida,Manatee County,23.5,25.4,1.9
Florida,Marion County,24.5,25.4,0.9
Florida,Martin County,23.5,26.3,2.8
Florida,Miami-Dade County,29.5,31.3,1.8
Florida,Monroe County,18,17.8,-0.2
Florida,Nassau County,28.4,29.8,1.4
Florida,Okaloosa County,22.3,23.6,1.3
Florida,Okeechobee County,26.7,24,-2.7
Florida,Orange County,26.2,27.6,1.4
Florida,Osceola County,30.2,32.2,2
Florida,Palm Beach County,24.7,25.3,0.6
Florida,Pasco County,30,31.6,1.6
Florida,Pinellas County,23,24.4,1.4
Florida,Polk County,25.4,26,0.6
Florida,Putnam County,28.7,27.9,-0.8
Florida,St. Johns County,25.8,27.2,1.4
Florida,St. Lucie County,28,27.6,-0.4
Florida,Santa Rosa County,28.1,28.7,0.6
Florida,Sarasota County,21.6,23.6,2
Florida,Seminole County,25.7,27.1,1.4
Florida,Sumter County,24,25.2,1.2
Florida,Suwannee County,26.8,25.9,-0.9
Florida,Taylor County,23.3,24.2,0.9
Florida,Union County,23.8,22.4,-1.4
Florida,Volusia County,24.7,25.4,0.7
Florida,Wakulla County,29,32.7,3.7
Florida,Walton County,27.2,28.2,1
Florida,Washington County,30,30.5,0.5
Georgia,Appling County,23.4,22,-1.4
Georgia,Atkinson County,22.5,22.9,0.4
Georgia,Bacon County,23.8,20.4,-3.4
Georgia,Baker County,27.2,27.4,0.2
Georgia,Baldwin County,19.2,21.7,2.5
Georgia,Banks County,26.9,30.2,3.3
Georgia,Barrow County,31.7,33.2,1.5
Georgia,Bartow County,28,27.9,-0.1
Georgia,Ben Hill County,20.2,17.5,-2.7
Georgia,Berrien County,23.6,23.8,0.2
Georgia,Bibb County,20.8,21.1,0.3
Georgia,Bleckley County,22.8,24.2,1.4
Georgia,Brantley County,30.1,30.8,0.7
Georgia,Brooks County,22.8,24.2,1.4
Georgia,Bryan County,28,30,2
Georgia,Bulloch County,21.6,21.6,0
Georgia,Burke County,30,26.4,-3.6
Georgia,Butts County,30.2,30.8,0.6
Georgia,Calhoun County,20.1,22.6,2.5
Georgia,Camden County,21.5,22.8,1.3
Georgia,Candler County,22.7,22.2,-0.5
Georgia,Carroll County,28.7,27.8,-0.9
Georgia,Catoosa County,22.8,23.3,0.5
Georgia,Charlton County,31.8,33.7,1.9
Georgia,Chatham County,20.7,21.8,1.1
Georgia,Chattahoochee County,15.6,15.5,-0.1
Georgia,Chattooga County,22.4,25.2,2.8
Georgia,Cherokee County,33.3,34.5,1.2
Georgia,Clarke County,18.6,19.4,0.8
Georgia,Clay County,21.2,29.6,8.4
Georgia,Clayton County,30.5,30.4,-0.1
Georgia,Clinch County,19,18.5,-0.5
Georgia,Cobb County,29.7,31.4,1.7
Georgia,Coffee County,19.6,20,0.4
Georgia,Colquitt County,22,21.6,-0.4
Georgia,Columbia County,23.7,25.2,1.5
Georgia,Cook County,23,25.6,2.6
Georgia,Coweta County,30.8,31,0.2
Georgia,Crawford County,29.1,28.8,-0.3
Georgia,Crisp County,19.1,18.8,-0.3
Georgia,Dade County,27.4,26.4,-1
Georgia,Dawson County,31.9,32.3,0.4
Georgia,Decatur County,21.4,24,2.6
Georgia,DeKalb County,30.7,31.9,1.2
Georgia,Dodge County,25.2,26,0.8
Georgia,Dooly County,19,21.5,2.5
Georgia,Dougherty County,18,18.9,0.9
Georgia,Douglas County,32.9,32.7,-0.2
Georgia,Early County,19.4,25.2,5.8
Georgia,Echols County,28.7,26.8,-1.9
Georgia,Effingham County,29.1,31.1,2
Georgia,Elbert County,20,20.8,0.8
Georgia,Emanuel County,22.9,27.9,5
Georgia,Evans County,23.1,23.6,0.5
Georgia,Fannin County,26.7,26.9,0.2
Georgia,Fayette County,29.7,31.2,1.5
Georgia,Floyd County,22.3,22.3,0
Georgia,Forsyth County,29.9,32.7,2.8
Georgia,Franklin County,22.3,25.8,3.5
Georgia,Fulton County,27.1,28.1,1
Georgia,Gilmer County,28.1,30.1,2
Georgia,Glascock County,32.4,31.3,-1.1
Georgia,Glynn County,19.1,19.3,0.2
Georgia,Gordon County,23.7,23.9,0.2
Georgia,Grady County,27.4,25.3,-2.1
Georgia,Greene County,25.5,26.4,0.9
Georgia,Gwinnett County,32.5,33.1,0.6
Georgia,Habersham County,22.3,26.9,4.6
Georgia,Hall County,25.9,26.3,0.4
Georgia,Hancock County,26.5,29.4,2.9
Georgia,Haralson County,27.6,33.6,6
Georgia,Harris County,26.7,26.1,-0.6
Georgia,Hart County,22.6,21.8,-0.8
Georgia,Heard County,36.2,37.6,1.4
Georgia,Henry County,33,33.6,0.6
Georgia,Houston County,20.6,21.4,0.8
Georgia,Irwin County,22.9,20.4,-2.5
Georgia,Jackson County,26.8,30.8,4
Georgia,Jasper County,35.9,32.6,-3.3
Georgia,Jeff Davis County,22.4,23,0.6
Georgia,Jefferson County,21.9,25.8,3.9
Georgia,Jenkins County,25,25.5,0.5
Georgia,Johnson County,29,28.6,-0.4
Georgia,Jones County,24.4,26.9,2.5
Georgia,Lamar County,25.3,29.6,4.3
Georgia,Lanier County,23.2,24.1,0.9
Georgia,Laurens County,21.4,23,1.6
Georgia,Lee County,20.1,20.5,0.4
Georgia,Liberty County,21.2,21.6,0.4
Georgia,Lincoln County,35.1,33.3,-1.8
Georgia,Long County,26.4,30.2,3.8
Georgia,Lowndes County,17,19.2,2.2
Georgia,Lumpkin County,30.5,28.7,-1.8
Georgia,McDuffie County,23.7,26.5,2.8
Georgia,McIntosh County,25.7,29.1,3.4
Georgia,Macon County,22,27.3,5.3
Georgia,Madison County,23.5,26,2.5
Georgia,Marion County,26.4,32.3,5.9
Georgia,Meriwether County,29.7,33,3.3
Georgia,Miller County,19.8,24.3,4.5
Georgia,Mitchell County,19.8,23.5,3.7
Georgia,Monroe County,27.8,26.3,-1.5
Georgia,Montgomery County,23.2,21.3,-1.9
Georgia,Morgan County,25.3,25.9,0.6
Georgia,Murray County,23.8,27.3,3.5
Georgia,Muscogee County,18.6,20,1.4
Georgia,Newton County,31.5,31.5,0
Georgia,Oconee County,21.7,23.5,1.8
Georgia,Oglethorpe County,26.2,28.5,2.3
Georgia,Paulding County,38.9,37.7,-1.2
Georgia,Peach County,22.6,22.7,0.1
Georgia,Pickens County,30.9,31.7,0.8
Georgia,Pierce County,22.6,27.1,4.5
Georgia,Pike County,31.7,33.7,2
Georgia,Polk County,26.9,26.2,-0.7
Georgia,Pulaski County,22.5,19.3,-3.2
Georgia,Putnam County,26.7,25,-1.7
Georgia,Quitman County,19.7,21.8,2.1
Georgia,Rabun County,21.3,21.6,0.3
Georgia,Randolph County,18.9,21.4,2.5
Georgia,Richmond County,19.5,20.5,1
Georgia,Rockdale County,32.6,29.5,-3.1
Georgia,Schley County,30.9,24.1,-6.8
Georgia,Screven County,28.5,31.1,2.6
Georgia,Seminole County,23.8,22.4,-1.4
Georgia,Spalding County,28.2,29,0.8
Georgia,Stephens County,21.2,20.9,-0.3
Georgia,Stewart County,29,26.8,-2.2
Georgia,Sumter County,18,20.3,2.3
Georgia,Talbot County,28.4,34.5,6.1
Georgia,Taliaferro County,30.3,32.9,2.6
Georgia,Tattnall County,24.8,24.9,0.1
Georgia,Taylor County,25.9,28.9,3
Georgia,Telfair County,22,22.5,0.5
Georgia,Terrell County,20.2,24.9,4.7
Georgia,Thomas County,19.9,20.5,0.6
Georgia,Tift County,16.2,19.9,3.7
Georgia,Toombs County,21.7,19.4,-2.3
Georgia,Towns County,24,19,-5
Georgia,Treutlen County,22.3,26.1,3.8
Georgia,Troup County,20.5,23.2,2.7
Georgia,Turner County,22,21.6,-0.4
Georgia,Twiggs County,27.8,32.3,4.5
Georgia,Union County,24.1,22.4,-1.7
Georgia,Upson County,24,23.3,-0.7
Georgia,Walker County,25.7,28.4,2.7
Georgia,Walton County,32,32.3,0.3
Georgia,Ware County,22.1,19.2,-2.9
Georgia,Warren County,22.6,25.4,2.8
Georgia,Washington County,21.4,21.5,0.1
Georgia,Wayne County,25.7,23.4,-2.3
Georgia,Webster County,24,25.8,1.8
Georgia,Wheeler County,19.5,24,4.5
Georgia,White County,29.7,27,-2.7
Georgia,Whitfield County,19.5,20.5,1
Georgia,Wilcox County,23.8,27.2,3.4
Georgia,Wilkes County,22.7,25.2,2.5
Georgia,Wilkinson County,24.4,26.3,1.9
Georgia,Worth County,25.6,26.3,0.7
Hawaii,Hawaii County,26.3,25.3,-1
Hawaii,Honolulu County,27,29.1,2.1
Hawaii,Kalawao County,6.2,6.6,0.4
Hawaii,Kauai County,19.9,22.4,2.5
Hawaii,Maui County,20.8,21.2,0.4
Idaho,Ada County,19.3,20.4,1.1
Idaho,Adams County,18.3,24.1,5.8
Idaho,Bannock County,17.7,17.6,-0.1
Idaho,Bear Lake County,20.9,23,2.1
Idaho,Benewah County,17.1,20.8,3.7
Idaho,Bingham County,20.2,21.9,1.7
Idaho,Blaine County,17.8,19.2,1.4
Idaho,Boise County,36.5,38.1,1.6
Idaho,Bonner County,23.9,25.6,1.7
Idaho,Bonneville County,20.1,19.2,-0.9
Idaho,Boundary County,17.7,23.7,6
Idaho,Butte County,19.7,22.6,2.9
Idaho,Camas County,28.1,29.2,1.1
Idaho,Canyon County,24.5,24.6,0.1
Idaho,Caribou County,17.6,15.6,-2
Idaho,Cassia County,16.1,14.8,-1.3
Idaho,Clark County,16.8,18.3,1.5
Idaho,Clearwater County,23.5,29,5.5
Idaho,Custer County,23,19.2,-3.8
Idaho,Elmore County,17.9,17.2,-0.7
Idaho,Franklin County,22.7,25,2.3
Idaho,Fremont County,21,25.9,4.9
Idaho,Gem County,31.4,29.6,-1.8
Idaho,Gooding County,21.8,20.8,-1
Idaho,Idaho County,21.1,17.4,-3.7
Idaho,Jefferson County,26,24.6,-1.4
Idaho,Jerome County,16.8,18,1.2
Idaho,Kootenai County,21.4,21.7,0.3
Idaho,Latah County,18.3,19.4,1.1
Idaho,Lemhi County,14.5,16,1.5
Idaho,Lewis County,20.5,22.7,2.2
Idaho,Lincoln County,31.1,28.7,-2.4
Idaho,Madison County,15.2,14.1,-1.1
Idaho,Minidoka County,17.3,17.2,-0.1
Idaho,Nez Perce County,15.7,16,0.3
Idaho,Oneida County,21.2,24.6,3.4
Idaho,Owyhee County,26,24,-2
Idaho,Payette County,21.2,19.1,-2.1
Idaho,Power County,17.1,18.2,1.1
Idaho,Shoshone County,18.5,19.4,0.9
Idaho,Teton County,24.6,27.9,3.3
Idaho,Twin Falls County,15.7,17.4,1.7
Idaho,Valley County,14.5,15.9,1.4
Idaho,Washington County,21.8,19.7,-2.1
Illinois,Adams County,16.6,17,0.4
Illinois,Alexander County,26.7,27.3,0.6
Illinois,Bond County,24.5,24.5,0
Illinois,Boone County,31.6,29,-2.6
Illinois,Brown County,16.2,16.6,0.4
Illinois,Bureau County,19.6,20.6,1
Illinois,Calhoun County,37,39.6,2.6
Illinois,Carroll County,25.2,24.7,-0.5
Illinois,Cass County,24.4,20.5,-3.9
Illinois,Champaign County,16.9,17.9,1
Illinois,Christian County,25.2,25.2,0
Illinois,Clark County,22.7,22.4,-0.3
Illinois,Clay County,19,20.6,1.6
Illinois,Clinton County,25.2,25.1,-0.1
Illinois,Coles County,16.8,16.3,-0.5
Illinois,Cook County,31.8,32.9,1.1
Illinois,Crawford County,17.7,15.8,-1.9
Illinois,Cumberland County,23.7,22.4,-1.3
Illinois,DeKalb County,25.2,25.5,0.3
