,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Class Size,Teacher Exp (years),Math Score,Sex of Child,,Class Size,Teacher Exp (years),Math Score,Sex of Child
regular,1,463,boy,,small.class,1,449,boy
regular,1,500,girl,,small.class,1,439,girl
regular,1,484,girl,,small.class,1,449,boy
regular,1,500,girl,,small.class,1,484,boy
regular,1,520,girl,,small.class,1,429,girl
regular,1,494,boy,,small.class,1,429,girl
regular,1,500,boy,,small.class,1,468,boy
regular,1,536,boy,,small.class,1,547,boy
regular,1,484,girl,,small.class,1,444,girl
regular,1,494,boy,,small.class,1,494,girl
regular,1,423,boy,,small.class,1,473,girl
regular,1,463,girl,,small.class,1,528,boy
regular,1,449,boy,,small.class,1,473,boy
regular,1,489,boy,,small.class,1,434,boy
regular,1,536,girl,,small.class,1,459,girl
regular,1,547,boy,,small.class,1,473,boy
regular,1,500,girl,,small.class,1,429,boy
regular,1,444,boy,,small.class,1,405,girl
regular,1,576,girl,,small.class,1,405,boy
regular,1,468,girl,,small.class,1,434,girl
regular,1,506,boy,,small.class,1,484,girl
regular,1,429,boy,,small.class,1,434,girl
regular,1,439,boy,,small.class,1,392,girl
regular,1,528,boy,,small.class,1,434,girl
regular,1,412,girl,,small.class,1,500,boy
regular,1,463,boy,,small.class,1,463,boy
regular,1,520,boy,,small.class,1,473,girl
regular,1,444,boy,,small.class,1,484,boy
regular,1,405,girl,,small.class,1,449,boy
regular,1,513,girl,,small.class,1,418,boy
regular,1,513,girl,,small.class,1,429,girl
regular,1,468,boy,,small.class,1,392,boy
regular,1,528,girl,,small.class,1,506,girl
regular,1,506,boy,,small.class,1,459,girl
regular,1,459,boy,,small.class,1,478,boy
regular,1,536,boy,,small.class,1,489,boy
regular,1,439,girl,,small.class,1,434,boy
regular,1,528,girl,,small.class,1,520,girl
regular,1,454,girl,,small.class,1,405,boy
regular,1,513,girl,,small.class,1,520,girl
regular,1,506,girl,,small.class,1,434,boy
regular,1,513,girl,,small.class,1,423,girl
regular,1,478,boy,,small.class,1,468,boy
regular,1,489,girl,,small.class,1,423,girl
regular,1,454,boy,,small.class,1,528,girl
regular,1,559,boy,,small.class,2,494,girl
regular,1,439,boy,,small.class,2,626,girl
regular,1,478,boy,,small.class,2,520,boy
regular,1,429,boy,,small.class,2,418,boy
regular,1,494,boy,,small.class,2,500,girl
regular,1,439,girl,,small.class,2,484,girl
regular,1,536,girl,,small.class,2,454,girl
regular,1,513,girl,,small.class,2,494,boy
regular,1,478,boy,,small.class,2,547,boy
regular,1,489,boy,,small.class,2,434,boy
regular,1,459,boy,,small.class,2,489,boy
regular,1,405,boy,,small.class,2,528,boy
regular,1,454,boy,,small.class,2,405,boy
regular,1,520,boy,,small.class,2,468,girl
regular,1,559,girl,,small.class,2,513,girl
regular,1,506,boy,,small.class,2,405,girl
regular,1,602,boy,,small.class,2,434,boy
regular,1,439,boy,,small.class,2,500,girl
regular,1,468,boy,,small.class,2,423,boy
regular,1,444,boy,,small.class,2,412,girl
regular,1,434,boy,,small.class,2,500,girl
regular,1,444,boy,,small.class,2,434,girl
regular,1,500,boy,,small.class,2,454,boy
regular,1,513,boy,,small.class,2,468,boy
regular,1,528,girl,,small.class,2,513,boy
regular,1,528,girl,,small.class,2,412,girl
regular,1,463,girl,,small.class,2,423,boy
regular,1,473,girl,,small.class,2,405,girl
regular,1,459,girl,,small.class,2,454,boy
regular,1,484,boy,,small.class,2,468,boy
regular,1,520,boy,,small.class,2,478,boy
regular,1,528,girl,,small.class,2,449,boy
regular,1,506,girl,,small.class,2,468,girl
regular,1,520,boy,,small.class,2,454,girl
regular,1,500,boy,,small.class,2,494,boy
regular,1,520,boy,,small.class,2,459,girl
regular,1,513,boy,,small.class,2,536,boy
regular,1,489,boy,,small.class,2,489,girl
regular,1,489,girl,,small.class,2,478,boy
regular,1,478,girl,,small.class,2,484,boy
regular,1,484,boy,,small.class,2,454,girl
regular,1,459,girl,,small.class,2,423,girl
regular,1,489,girl,,small.class,2,412,girl
regular,1,494,girl,,small.class,2,506,boy
regular,1,418,boy,,small.class,2,513,girl
regular,1,429,boy,,small.class,2,454,boy
regular,1,454,girl,,small.class,2,473,girl
regular,1,528,boy,,small.class,2,473,girl
regular,1,459,girl,,small.class,2,468,boy
regular,1,434,girl,,small.class,2,449,girl
regular,2,489,boy,,small.class,2,449,boy
regular,2,463,boy,,small.class,2,429,boy
regular,2,449,boy,,small.class,2,434,girl
regular,2,459,girl,,small.class,2,484,girl
regular,2,513,girl,,small.class,2,520,boy
regular,2,449,boy,,small.class,2,489,girl
regular,2,473,girl,,small.class,2,454,girl
regular,2,444,boy,,small.class,2,536,girl
regular,2,468,boy,,small.class,2,494,girl
regular,2,494,boy,,small.class,2,500,girl
regular,2,500,girl,,small.class,2,434,girl
regular,2,434,boy,,small.class,2,520,boy
regular,2,489,boy,,small.class,2,444,boy
regular,2,576,boy,,small.class,2,434,boy
regular,2,449,girl,,small.class,2,484,boy
regular,2,468,girl,,small.class,2,434,girl
regular,2,454,boy,,small.class,2,454,boy
regular,2,454,boy,,small.class,2,434,boy
regular,2,500,girl,,small.class,2,484,girl
regular,2,449,boy,,small.class,2,520,boy
regular,2,602,boy,,small.class,2,500,boy
regular,2,506,girl,,small.class,2,405,boy
regular,2,449,girl,,small.class,2,536,girl
regular,2,429,boy,,small.class,2,463,girl
regular,2,513,girl,,small.class,2,547,girl
regular,2,454,girl,,small.class,2,392,girl
regular,2,513,girl,,small.class,2,513,boy
regular,2,478,girl,,small.class,2,489,girl
regular,2,405,girl,,small.class,2,500,boy
regular,2,468,boy,,small.class,2,449,girl
regular,2,559,girl,,small.class,2,500,girl
regular,2,489,girl,,small.class,2,520,girl
regular,2,576,girl,,small.class,2,434,girl
regular,2,513,boy,,small.class,2,513,girl
regular,2,423,boy,,small.class,2,559,boy
regular,2,423,girl,,small.class,2,520,girl
regular,2,536,boy,,small.class,2,513,boy
regular,2,489,girl,,small.class,2,536,girl
regular,2,494,girl,,small.class,2,463,boy
regular,2,559,girl,,small.class,2,468,girl
regular,2,576,girl,,small.class,2,520,girl
regular,2,478,girl,,small.class,2,473,girl
regular,2,576,girl,,small.class,2,463,boy
regular,2,449,boy,,small.class,2,463,girl
regular,2,520,girl,,small.class,2,559,girl
regular,2,468,boy,,small.class,2,559,girl
regular,2,468,girl,,small.class,2,513,boy
regular,2,473,girl,,small.class,2,423,boy
regular,2,484,boy,,small.class,3,506,boy
regular,2,547,girl,,small.class,3,412,boy
regular,2,528,girl,,small.class,3,513,girl
regular,2,494,girl,,small.class,3,423,girl
regular,2,405,boy,,small.class,3,478,girl
regular,2,626,boy,,small.class,3,494,boy
regular,2,439,girl,,small.class,3,602,boy
regular,2,478,boy,,small.class,3,513,boy
regular,2,444,boy,,small.class,3,626,boy
regular,2,559,boy,,small.class,3,412,boy
regular,2,439,boy,,small.class,3,429,girl
regular,2,506,girl,,small.class,3,520,girl
regular,2,506,boy,,small.class,3,468,girl
regular,2,478,boy,,small.class,3,520,boy
regular,2,559,girl,,small.class,3,489,boy
regular,2,468,boy,,small.class,3,576,girl
regular,2,468,boy,,small.class,3,500,girl
regular,2,576,girl,,small.class,3,459,boy
regular,2,429,girl,,small.class,3,489,boy
regular,2,463,boy,,small.class,3,602,girl
regular,2,536,girl,,small.class,3,473,boy
regular,2,429,boy,,small.class,3,513,boy
regular,2,392,boy,,small.class,3,478,girl
regular,2,489,girl,,small.class,3,478,girl
regular,2,576,girl,,small.class,3,500,boy
regular,2,602,girl,,small.class,3,626,boy
regular,2,468,girl,,small.class,3,423,boy
regular,2,459,boy,,small.class,3,520,boy
regular,2,478,boy,,small.class,3,506,boy
regular,2,454,boy,,small.class,3,602,boy
regular,2,365,boy,,small.class,3,559,boy
regular,3,500,girl,,small.class,3,434,girl
regular,3,478,girl,,small.class,3,576,boy
regular,3,478,boy,,small.class,3,463,boy
regular,3,454,boy,,small.class,3,520,girl
regular,3,484,boy,,small.class,3,429,girl
regular,3,473,boy,,small.class,3,547,girl
regular,3,528,boy,,small.class,3,468,boy
regular,3,473,boy,,small.class,3,449,boy
regular,3,454,girl,,small.class,3,536,boy
regular,3,439,boy,,small.class,3,399,boy
regular,3,559,boy,,small.class,3,576,girl
regular,3,484,boy,,small.class,3,576,girl
regular,3,489,girl,,small.class,3,454,girl
regular,3,500,girl,,small.class,3,576,girl
regular,3,418,girl,,small.class,3,484,girl
regular,3,454,boy,,small.class,3,494,girl
regular,3,439,boy,,small.class,3,602,girl
regular,3,459,boy,,small.class,3,602,girl
regular,3,463,girl,,small.class,3,434,boy
regular,3,602,boy,,small.class,3,449,boy
regular,3,439,boy,,small.class,3,626,girl
regular,3,473,girl,,small.class,3,528,girl
regular,3,500,boy,,small.class,3,520,girl
regular,3,444,boy,,small.class,3,576,boy
regular,3,473,boy,,small.class,3,444,boy
regular,3,320,boy,,small.class,3,506,girl
regular,3,520,boy,,small.class,3,500,boy
regular,3,559,girl,,small.class,3,576,girl
regular,3,449,boy,,small.class,3,463,boy
regular,3,423,boy,,small.class,3,405,girl
regular,3,412,girl,,small.class,3,412,girl
regular,3,399,boy,,small.class,3,547,girl
regular,3,520,girl,,small.class,3,547,girl
regular,3,429,boy,,small.class,3,520,girl
regular,3,392,girl,,small.class,3,473,girl
regular,3,468,girl,,small.class,3,506,girl
regular,3,478,girl,,small.class,3,439,girl
regular,3,449,boy,,small.class,3,473,boy
regular,3,434,girl,,small.class,3,429,boy
regular,3,439,boy,,small.class,3,449,girl
regular,3,412,girl,,small.class,3,412,boy
regular,3,506,girl,,small.class,3,468,girl
regular,3,489,girl,,small.class,3,489,girl
regular,3,473,girl,,small.class,3,520,girl
regular,3,384,boy,,small.class,3,506,girl
regular,3,449,boy,,small.class,3,489,boy
regular,3,513,girl,,small.class,3,489,boy
regular,3,473,girl,,small.class,3,459,boy
regular,3,576,girl,,small.class,3,528,boy
regular,3,500,boy,,small.class,3,520,girl
regular,3,473,boy,,small.class,3,439,boy
regular,3,423,boy,,small.class,3,602,girl
regular,3,399,boy,,small.class,3,559,boy
regular,3,520,boy,,small.class,3,626,girl
regular,3,384,boy,,small.class,3,520,girl
regular,3,399,girl,,small.class,3,429,boy
regular,3,392,boy,,small.class,3,439,girl
regular,3,405,boy,,small.class,3,384,girl
regular,3,444,girl,,small.class,3,547,girl
regular,3,489,boy,,small.class,3,449,girl
regular,3,468,girl,,small.class,3,602,boy
regular,3,412,girl,,small.class,3,576,girl
regular,3,444,girl,,small.class,3,434,girl
regular,3,429,boy,,small.class,3,528,boy
regular,3,463,boy,,small.class,3,423,boy
regular,3,392,boy,,small.class,3,444,girl
regular,3,439,boy,,small.class,3,473,girl
regular,3,626,boy,,small.class,3,429,girl
regular,3,429,boy,,small.class,3,444,girl
regular,3,559,girl,,small.class,3,399,boy
regular,3,439,boy,,small.class,4,559,girl
regular,3,547,girl,,small.class,4,439,girl
regular,3,506,boy,,small.class,4,463,girl
regular,3,559,boy,,small.class,4,559,boy
regular,3,513,girl,,small.class,4,423,boy
regular,3,463,boy,,small.class,4,484,boy
regular,3,520,girl,,small.class,4,547,boy
regular,3,520,boy,,small.class,4,494,boy
regular,3,468,girl,,small.class,4,520,boy
regular,3,439,boy,,small.class,4,500,girl
regular,3,536,girl,,small.class,4,484,girl
regular,3,444,girl,,small.class,4,602,boy
regular,3,399,girl,,small.class,4,576,girl
regular,3,478,boy,,small.class,4,500,boy
regular,3,478,girl,,small.class,4,429,girl
regular,3,478,girl,,small.class,4,494,girl
regular,3,489,girl,,small.class,4,489,boy
regular,3,463,boy,,small.class,4,576,boy
regular,3,576,girl,,small.class,4,500,girl
regular,3,602,girl,,small.class,4,602,boy
regular,3,528,girl,,small.class,4,547,boy
regular,3,405,boy,,small.class,4,559,boy
regular,3,484,girl,,small.class,4,489,boy
regular,3,547,boy,,small.class,4,602,boy
regular,3,513,girl,,small.class,4,602,girl
regular,3,473,boy,,small.class,4,459,girl
regular,3,513,boy,,small.class,4,473,boy
regular,3,494,boy,,small.class,4,559,boy
regular,3,489,boy,,small.class,4,602,girl
regular,3,494,girl,,small.class,4,576,boy
regular,3,536,girl,,small.class,4,418,girl
regular,3,418,boy,,small.class,4,478,girl
regular,3,449,girl,,small.class,4,626,boy
regular,3,405,boy,,small.class,4,484,girl
regular,3,513,boy,,small.class,4,602,boy
regular,3,468,girl,,small.class,4,520,boy
regular,3,449,boy,,small.class,4,576,boy
regular,3,463,girl,,small.class,4,576,girl
regular,3,444,boy,,small.class,4,576,girl
regular,3,536,boy,,small.class,4,528,girl
regular,3,500,boy,,small.class,4,478,girl
regular,3,444,boy,,small.class,4,489,boy
regular,3,434,girl,,small.class,4,506,boy
regular,3,468,boy,,small.class,4,459,girl
regular,3,468,girl,,small.class,4,576,girl
regular,3,484,girl,,small.class,4,576,boy
regular,4,484,girl,,small.class,4,494,girl
regular,4,478,girl,,small.class,4,559,boy
regular,4,494,girl,,small.class,4,626,boy
regular,4,468,boy,,small.class,4,473,boy
regular,4,559,boy,,small.class,4,559,girl
regular,4,473,boy,,small.class,4,559,boy
regular,4,547,girl,,small.class,4,439,girl
regular,4,473,boy,,small.class,4,559,girl
regular,4,494,girl,,small.class,4,494,girl
regular,4,423,boy,,small.class,4,536,girl
regular,4,444,boy,,small.class,4,439,girl
regular,4,412,girl,,small.class,4,500,boy
regular,4,513,girl,,small.class,4,520,girl
regular,4,494,girl,,small.class,4,528,girl
regular,4,439,girl,,small.class,4,506,boy
regular,4,500,girl,,small.class,4,454,boy
regular,4,473,boy,,small.class,4,547,boy
regular,4,528,girl,,small.class,4,484,boy
regular,4,536,girl,,small.class,4,559,boy
regular,4,429,boy,,small.class,4,473,boy
regular,4,423,boy,,small.class,4,429,boy
regular,4,520,girl,,small.class,4,506,girl
regular,4,444,girl,,small.class,4,520,girl
regular,4,489,boy,,small.class,4,520,girl
regular,4,506,boy,,small.class,4,506,girl
regular,4,412,boy,,small.class,4,513,boy
regular,4,444,girl,,small.class,4,454,girl
regular,4,506,girl,,small.class,5,489,boy
regular,4,547,boy,,small.class,5,506,girl
regular,4,434,girl,,small.class,5,559,girl
regular,4,418,boy,,small.class,5,473,boy
regular,4,478,boy,,small.class,5,489,girl
regular,4,454,boy,,small.class,5,536,boy
regular,4,536,boy,,small.class,5,412,girl
regular,4,454,boy,,small.class,5,478,boy
regular,4,429,boy,,small.class,5,418,boy
regular,4,468,girl,,small.class,5,454,girl
regular,4,468,girl,,small.class,5,513,boy
regular,4,547,girl,,small.class,5,468,boy
regular,4,468,boy,,small.class,5,494,boy
regular,4,520,girl,,small.class,5,528,girl
regular,4,513,girl,,small.class,5,528,girl
regular,4,513,girl,,small.class,5,454,girl
regular,4,454,girl,,small.class,5,602,girl
regular,4,489,girl,,small.class,5,444,girl
regular,4,454,girl,,small.class,5,536,girl
regular,4,506,boy,,small.class,5,454,boy
regular,4,528,girl,,small.class,5,439,girl
regular,4,449,boy,,small.class,5,500,boy
regular,4,439,boy,,small.class,5,454,boy
regular,4,449,boy,,small.class,5,500,boy
regular,4,513,girl,,small.class,5,494,boy
regular,4,602,girl,,small.class,5,439,boy
regular,4,459,boy,,small.class,5,528,boy
regular,4,500,girl,,small.class,5,434,boy
regular,4,602,girl,,small.class,5,547,girl
regular,4,473,boy,,small.class,5,463,girl
regular,4,536,girl,,small.class,5,444,girl
regular,4,434,boy,,small.class,5,473,girl
regular,4,506,girl,,small.class,5,536,boy
regular,4,559,boy,,small.class,5,520,boy
regular,4,484,boy,,small.class,5,506,boy
regular,4,528,boy,,small.class,5,547,boy
regular,4,449,boy,,small.class,5,484,girl
regular,4,468,girl,,small.class,5,459,girl
regular,4,500,boy,,small.class,5,528,girl
regular,4,384,boy,,small.class,5,423,girl
regular,4,459,girl,,small.class,5,536,girl
regular,4,489,girl,,small.class,5,506,girl
regular,4,434,boy,,small.class,5,463,boy
regular,4,484,girl,,small.class,5,489,girl
regular,4,434,boy,,small.class,5,559,girl
regular,4,528,girl,,small.class,5,489,boy
regular,4,500,girl,,small.class,5,506,girl
regular,4,528,boy,,small.class,5,513,boy
regular,4,473,girl,,small.class,5,418,boy
regular,4,494,girl,,small.class,5,494,boy
regular,4,528,girl,,small.class,5,547,girl
regular,4,439,boy,,small.class,5,506,boy
regular,4,399,boy,,small.class,5,473,boy
regular,4,513,girl,,small.class,5,439,boy
regular,4,484,girl,,small.class,5,520,boy
regular,4,444,boy,,small.class,5,536,boy
regular,4,454,boy,,small.class,5,439,boy
regular,4,439,girl,,small.class,5,536,girl
regular,4,484,girl,,small.class,5,506,boy
regular,4,454,boy,,small.class,5,576,boy
regular,4,494,girl,,small.class,5,547,girl
regular,4,494,boy,,small.class,5,478,girl
regular,4,506,girl,,small.class,5,520,girl
regular,4,429,girl,,small.class,5,513,boy
regular,4,454,boy,,small.class,5,434,boy
regular,4,500,girl,,small.class,5,463,girl
regular,4,576,girl,,small.class,5,484,boy
regular,4,454,boy,,small.class,5,520,girl
regular,4,423,boy,,small.class,5,449,boy
regular,4,506,girl,,small.class,5,484,boy
regular,4,506,girl,,small.class,5,506,boy
regular,4,506,boy,,small.class,5,500,boy
regular,4,459,boy,,small.class,5,547,boy
regular,4,478,boy,,small.class,5,520,boy
regular,5,513,girl,,small.class,5,500,boy
regular,5,536,boy,,small.class,5,429,boy
regular,5,494,boy,,small.class,5,576,girl
regular,5,399,boy,,small.class,5,547,girl
regular,5,506,boy,,small.class,5,473,girl
regular,5,454,boy,,small.class,5,576,boy
regular,5,439,boy,,small.class,5,484,girl
regular,5,489,boy,,small.class,5,576,boy
regular,5,513,boy,,small.class,5,418,girl
regular,5,429,boy,,small.class,5,513,girl
regular,5,449,girl,,small.class,5,478,girl
regular,5,434,boy,,small.class,5,473,boy
regular,5,520,boy,,small.class,5,439,boy
regular,5,454,boy,,small.class,5,528,boy
regular,5,468,boy,,small.class,5,418,girl
regular,5,528,boy,,small.class,5,559,girl
regular,5,439,boy,,small.class,5,500,girl
regular,5,506,girl,,small.class,5,506,boy
regular,5,489,girl,,small.class,5,478,boy
regular,5,513,boy,,small.class,5,559,boy
regular,5,434,girl,,small.class,5,559,girl
regular,5,520,boy,,small.class,5,439,girl
regular,5,484,boy,,small.class,5,444,boy
regular,5,520,boy,,small.class,6,494,boy
regular,5,429,boy,,small.class,6,449,girl
regular,5,506,girl,,small.class,6,429,boy
regular,5,506,girl,,small.class,6,500,girl
regular,5,489,girl,,small.class,6,473,girl
regular,5,478,boy,,small.class,6,484,boy
regular,5,454,boy,,small.class,6,536,boy
regular,5,484,boy,,small.class,6,536,boy
regular,5,506,boy,,small.class,6,494,boy
regular,5,468,girl,,small.class,6,459,boy
regular,5,468,girl,,small.class,6,459,boy
regular,5,478,boy,,small.class,6,547,girl
regular,5,494,boy,,small.class,6,473,girl
regular,5,489,girl,,small.class,6,520,girl
regular,5,602,girl,,small.class,6,405,boy
regular,5,454,girl,,small.class,6,423,boy
regular,5,494,boy,,small.class,6,513,boy
regular,5,513,girl,,small.class,6,399,boy
regular,5,449,girl,,small.class,6,576,boy
regular,5,506,girl,,small.class,6,418,boy
regular,5,576,girl,,small.class,6,468,girl
regular,5,484,boy,,small.class,6,484,girl
regular,5,494,girl,,small.class,6,576,boy
regular,5,478,girl,,small.class,6,536,girl
regular,5,434,girl,,small.class,6,547,boy
regular,5,489,girl,,small.class,6,528,boy
regular,5,473,boy,,small.class,6,528,girl
regular,5,489,girl,,small.class,6,547,girl
regular,5,520,boy,,small.class,6,528,girl
regular,5,500,boy,,small.class,6,459,boy
regular,5,484,boy,,small.class,6,484,boy
regular,5,500,girl,,small.class,6,513,girl
regular,5,468,boy,,small.class,6,513,girl
regular,5,513,girl,,small.class,6,513,girl
regular,5,484,boy,,small.class,6,528,boy
regular,5,449,boy,,small.class,6,459,girl
regular,5,489,girl,,small.class,6,559,boy
regular,5,418,girl,,small.class,6,576,girl
regular,5,494,girl,,small.class,6,463,girl
regular,5,444,boy,,small.class,6,626,boy
regular,5,429,girl,,small.class,6,520,boy
regular,5,528,boy,,small.class,6,513,boy
regular,5,506,girl,,small.class,6,602,boy
regular,5,434,girl,,small.class,6,513,girl
regular,5,459,boy,,small.class,6,399,boy
regular,5,444,girl,,small.class,6,576,girl
regular,5,459,boy,,small.class,6,399,boy
regular,5,478,girl,,small.class,6,489,boy
regular,5,468,boy,,small.class,6,602,boy
regular,5,478,boy,,small.class,6,536,boy
regular,5,536,girl,,small.class,6,513,boy
regular,5,528,girl,,small.class,6,506,boy
regular,5,459,girl,,small.class,6,528,girl
regular,5,444,boy,,small.class,6,626,boy
regular,5,463,boy,,small.class,6,463,boy
regular,5,536,girl,,small.class,6,459,boy
regular,5,484,boy,,small.class,6,520,boy
regular,5,405,girl,,small.class,6,484,girl
regular,5,454,boy,,small.class,6,478,boy
regular,5,459,girl,,small.class,6,528,girl
regular,5,484,girl,,small.class,6,559,girl
regular,5,449,girl,,small.class,6,528,boy
regular,5,576,boy,,small.class,6,536,boy
regular,5,506,girl,,small.class,6,459,girl
regular,5,449,boy,,small.class,6,500,boy
regular,5,449,boy,,small.class,6,463,boy
regular,5,463,boy,,small.class,6,528,girl
regular,5,536,boy,,small.class,6,454,boy
regular,5,494,girl,,small.class,6,473,boy
regular,5,399,girl,,small.class,6,489,girl
regular,5,536,girl,,small.class,6,468,boy
regular,5,439,boy,,small.class,6,354,girl
regular,6,459,girl,,small.class,6,405,boy
regular,6,500,girl,,small.class,6,528,girl
regular,6,536,girl,,small.class,6,489,boy
regular,6,478,boy,,small.class,6,500,boy
regular,6,463,girl,,small.class,6,559,boy
regular,6,536,girl,,small.class,6,506,girl
regular,6,320,girl,,small.class,6,439,boy
regular,6,418,girl,,small.class,6,576,girl
regular,6,454,girl,,small.class,6,626,boy
regular,6,513,boy,,small.class,6,484,boy
regular,6,500,boy,,small.class,6,559,girl
regular,6,412,boy,,small.class,6,500,girl
regular,6,459,boy,,small.class,6,468,girl
regular,6,423,boy,,small.class,6,478,girl
regular,6,473,girl,,small.class,6,489,girl
regular,6,449,boy,,small.class,6,506,boy
regular,6,468,boy,,small.class,6,429,boy
regular,6,513,girl,,small.class,6,484,girl
regular,6,418,girl,,small.class,6,500,girl
regular,6,463,girl,,small.class,6,513,boy
regular,6,484,boy,,small.class,6,520,boy
regular,6,429,boy,,small.class,6,536,girl
regular,6,500,girl,,small.class,6,602,boy
regular,6,449,boy,,small.class,6,468,boy
