employee_id,satisfaction_level,average_monthly_hours,department,salary
188,0.4,143,hr,medium
189,0.37,152,technical,medium
190,0.44,156,technical,high
191,0.09,283,technical,low
192,0.92,226,technical,medium
193,0.74,232,technical,medium
194,0.09,249,technical,medium
195,0.89,275,technical,medium
196,0.09,304,technical,low
197,0.27,278,technical,low
198,0.1,287,technical,low
199,0.1,285,technical,low
200,0.77,226,support,low
201,0.9,259,support,low
202,0.39,135,support,low
203,0.76,219,support,low
204,0.1,256,support,low
205,0.87,254,support,low
206,0.38,153,support,low
207,0.77,228,support,low
208,0.78,228,support,low
209,0.44,128,support,low
210,0.38,153,support,low
211,0.43,156,technical,low
212,0.39,294,technical,low
213,0.88,219,technical,low
214,0.45,153,management,low
215,0.4,151,IT,low
216,0.36,155,IT,low
217,0.36,158,IT,low
218,0.9,245,IT,low
219,0.43,131,IT,low
220,0.89,225,product_mng,low
221,0.1,286,product_mng,low
222,0.37,135,product_mng,low
223,0.37,153,product_mng,low
224,0.87,252,IT,low
225,0.4,149,accounting,low
226,0.9,258,accounting,low
227,0.37,158,hr,low
228,0.44,149,hr,low
229,0.85,236,hr,low
230,0.78,239,marketing,low
231,0.42,159,marketing,low
232,0.92,255,sales,low
233,0.11,244,accounting,low
234,0.42,134,support,low
235,0.48,270,technical,low
236,0.83,255,management,low
237,0.4,151,marketing,low
238,0.43,135,marketing,low
239,0.43,146,marketing,low
240,0.1,254,sales,low
241,0.1,289,sales,low
242,0.37,156,sales,low
243,0.38,156,sales,low
244,0.4,128,sales,low
245,0.89,275,sales,low
246,0.45,155,sales,low
247,0.37,159,sales,low
248,0.46,148,sales,low
249,0.87,228,sales,low
250,0.11,298,sales,low
251,0.79,261,sales,low
252,0.79,254,sales,low
253,0.19,192,sales,low
254,0.87,248,sales,low
255,0.6,258,sales,low
256,0.44,156,sales,medium
257,0.11,266,sales,medium
258,0.42,156,sales,medium
259,0.88,232,accounting,medium
260,0.11,287,accounting,medium
261,0.46,154,accounting,medium
262,0.82,263,hr,medium
263,0.44,131,hr,medium
264,0.11,260,hr,medium
265,0.42,139,hr,medium
266,0.84,251,technical,medium
267,0.11,286,technical,medium
268,0.45,129,technical,high
269,0.38,156,technical,low
270,0.38,139,technical,medium
271,0.44,127,technical,medium
272,0.11,251,technical,medium
273,0.81,270,technical,medium
274,0.09,296,technical,low
275,0.11,254,technical,low
276,0.81,238,technical,low
277,0.1,267,support,low
278,0.74,229,support,low
279,0.09,254,support,low
280,0.82,233,support,low
281,0.1,268,support,low
282,0.27,301,support,low
283,0.83,267,support,low
284,0.1,289,support,low
285,0.38,144,support,low
286,0.4,148,support,low
287,0.11,306,support,low
288,0.11,292,technical,low
289,0.82,232,technical,low
290,0.36,137,technical,low
291,0.4,128,management,low
292,0.87,231,IT,low
293,0.41,146,IT,low
294,0.11,308,IT,low
295,0.1,253,IT,medium
296,0.38,146,IT,medium
297,0.39,156,product_mng,medium
298,0.4,147,product_mng,medium
299,0.45,136,product_mng,medium
300,0.74,249,product_mng,medium
301,0.45,151,IT,medium
302,0.12,278,RandD,medium
303,0.1,250,RandD,medium
304,0.37,127,RandD,medium
305,0.89,255,RandD,medium
306,0.45,135,RandD,medium
307,0.37,149,marketing,high
308,0.11,287,sales,low
309,0.41,145,accounting,medium
310,0.1,285,support,medium
311,0.1,305,technical,medium
312,0.11,300,management,medium
313,0.4,139,marketing,low
314,0.41,130,marketing,low
315,0.1,268,marketing,low
316,0.73,245,sales,low
317,0.43,135,sales,low
318,0.37,153,sales,low
319,0.11,276,sales,low
320,0.4,130,sales,low
321,0.41,153,sales,low
322,0.82,244,sales,low
323,0.61,253,sales,low
324,0.11,287,sales,low
325,0.37,131,sales,low
326,0.41,135,sales,low
327,0.37,157,sales,low
328,0.88,262,sales,low
329,0.1,266,sales,low
330,0.44,148,sales,low
331,0.38,140,sales,low
332,0.11,302,sales,low
333,0.09,271,sales,low
334,0.45,145,sales,medium
335,0.1,290,accounting,medium
336,0.45,151,accounting,medium
337,0.77,266,accounting,medium
338,0.44,140,hr,medium
339,0.39,142,hr,medium
340,0.1,246,hr,medium
341,0.09,308,hr,medium
342,0.37,141,technical,medium
343,0.9,232,technical,medium
344,0.41,143,technical,medium
345,0.37,155,technical,medium
346,0.1,278,technical,high
347,0.81,253,technical,low
348,0.11,282,technical,medium
349,0.11,264,technical,medium
350,0.4,149,technical,medium
351,0.09,304,technical,medium
352,0.48,219,technical,low
353,0.91,262,support,low
354,0.43,135,support,low
355,0.33,219,support,low
356,0.41,136,support,low
357,0.41,154,support,low
358,0.37,149,support,low
359,0.31,135,support,low
360,0.09,275,support,low
361,0.1,290,support,low
362,0.76,263,support,low
363,0.41,145,support,low
364,0.72,267,technical,low
365,0.4,141,technical,low
366,0.91,235,technical,low
367,0.1,258,management,low
368,0.4,131,IT,low
369,0.82,243,IT,low
370,0.1,266,IT,low
371,0.37,142,IT,low
372,0.36,135,IT,low
373,0.39,141,product_mng,medium
374,0.36,142,product_mng,medium
375,0.86,254,product_mng,medium
376,0.73,262,product_mng,medium
377,0.56,296,IT,medium
378,0.44,158,accounting,medium
379,0.31,238,accounting,medium
380,0.77,231,hr,medium
381,0.44,156,hr,medium
382,0.38,145,hr,medium
383,0.45,144,marketing,medium
384,0.38,159,sales,medium
385,0.36,156,accounting,high
386,0.75,256,support,low
387,0.1,298,technical,medium
388,0.1,247,management,medium
389,0.45,157,marketing,medium
390,0.42,154,marketing,medium
391,0.78,253,marketing,low
392,0.45,148,sales,low
393,0.84,261,sales,low
394,0.11,282,sales,low
395,0.42,133,sales,low
396,0.45,128,sales,low
397,0.46,139,sales,low
398,0.09,293,sales,low
399,0.87,265,sales,low
400,0.1,250,sales,low
401,0.91,251,sales,low
402,0.76,246,sales,low
403,0.74,275,sales,low
404,0.92,240,sales,low
405,0.76,245,sales,low
406,0.47,254,sales,low
407,0.73,241,sales,low
408,0.09,257,sales,low
409,0.91,246,sales,low
410,0.82,233,sales,low
411,0.28,218,accounting,low
412,0.84,262,accounting,medium
413,0.45,138,accounting,medium
414,0.45,142,hr,medium
415,0.91,233,hr,medium
416,0.42,155,hr,medium
417,0.82,229,hr,medium
418,0.11,264,technical,medium
419,0.42,199,technical,medium
420,0.82,223,technical,medium
421,0.09,268,technical,medium
422,0.1,287,technical,medium
423,0.86,257,technical,medium
424,0.4,143,technical,high
425,0.45,130,technical,low
426,0.42,136,technical,medium
427,0.74,261,technical,medium
428,0.55,180,technical,medium
429,0.37,126,support,medium
430,0.41,127,support,low
431,0.89,195,support,low
432,0.41,160,support,low
433,0.44,150,support,low
434,0.87,264,support,low
435,0.1,309,support,low
436,0.41,135,support,low
437,0.11,261,support,low
438,0.43,160,support,low
439,0.77,237,support,low
440,0.41,136,technical,low
441,0.41,139,technical,low
442,0.36,151,technical,low
443,0.77,229,management,low
444,0.81,245,IT,low
445,0.39,127,IT,low
446,0.09,283,IT,low
447,0.44,143,IT,low
448,0.1,298,IT,low
449,0.36,159,product_mng,low
450,0.81,239,product_mng,low
451,0.81,226,product_mng,medium
452,0.85,248,product_mng,medium
453,0.1,286,IT,medium
454,0.37,145,RandD,medium
455,0.09,254,RandD,medium
456,0.44,127,RandD,medium
457,0.86,223,RandD,medium
458,0.77,255,RandD,medium
459,0.41,136,marketing,medium
460,0.4,137,sales,medium
461,0.43,135,accounting,medium
462,0.43,137,support,medium
463,0.8,255,technical,high
464,0.8,273,management,low
465,0.82,234,marketing,medium
466,0.37,152,marketing,medium
467,0.37,134,marketing,medium
468,0.09,292,sales,medium
469,0.9,245,sales,low
470,0.41,159,sales,low
471,0.1,260,sales,low
472,0.44,149,sales,low
473,0.89,266,sales,low
474,0.42,149,sales,low
475,0.87,242,sales,low
476,0.45,134,sales,low
477,0.11,271,sales,low
478,0.09,275,sales,low
479,0.76,227,sales,low
480,0.11,277,sales,low
481,0.37,151,sales,low
482,0.1,274,sales,low
483,0.77,242,sales,low
484,0.42,143,sales,low
485,0.38,145,sales,low
486,0.32,172,sales,low
487,0.38,135,accounting,low
488,0.19,192,accounting,low
489,0.1,276,accounting,low
490,0.76,206,hr,medium
491,0.53,281,hr,medium
492,0.39,151,hr,medium
493,0.11,244,hr,medium
494,0.1,309,technical,medium
495,0.84,218,technical,medium
496,0.82,263,technical,medium
497,0.1,244,technical,medium
498,0.59,263,technical,medium
499,0.44,143,technical,medium
500,0.89,181,technical,medium
501,0.91,265,technical,medium
502,0.66,161,technical,high
503,0.11,282,technical,low
504,0.43,155,technical,medium
505,0.78,217,support,medium
506,0.11,289,support,medium
507,0.83,259,support,medium
508,0.39,158,support,low
509,0.38,158,support,low
510,0.37,155,support,low
511,0.44,146,support,low
512,0.53,164,support,low
513,0.09,259,support,low
514,0.11,293,support,low
515,0.83,275,support,low
516,0.88,219,technical,low
517,0.1,247,technical,low
518,0.09,309,technical,low
519,0.44,151,management,low
520,0.39,129,IT,low
521,0.87,274,IT,low
522,0.74,233,IT,low
523,0.1,289,IT,low
524,0.74,239,IT,low
525,0.75,221,product_mng,low
526,0.41,150,product_mng,low
527,0.41,144,product_mng,low
528,0.09,289,product_mng,low
529,0.09,301,IT,medium
530,0.39,145,accounting,medium
531,0.4,137,accounting,medium
532,0.37,131,hr,medium
533,0.1,246,hr,medium
534,0.43,136,hr,medium
535,0.75,240,marketing,medium
536,0.37,156,sales,medium
537,0.11,305,accounting,medium
538,0.45,154,support,medium
539,0.87,261,technical,medium
540,0.11,244,management,medium
541,0.45,129,marketing,high
542,0.81,254,marketing,low
543,0.77,236,marketing,medium
544,0.89,237,sales,medium
545,0.43,135,sales,medium
546,0.78,236,sales,medium
547,0.37,149,sales,low
548,0.37,141,sales,low
549,0.85,270,sales,low
550,0.41,138,sales,low
551,0.11,298,sales,low
552,0.75,254,sales,low
553,0.82,248,sales,low
554,0.79,257,sales,low
555,0.43,150,sales,low
556,0.1,281,sales,low
557,0.46,141,sales,low
558,0.43,157,sales,low
559,0.43,136,sales,low
560,0.11,296,sales,low
561,0.09,279,sales,low
562,0.37,131,sales,low
563,0.4,160,accounting,low
564,0.1,291,accounting,low
565,0.41,157,accounting,low
566,0.79,294,hr,low
567,0.11,310,hr,low
568,0.1,282,hr,medium
569,0.44,134,hr,medium
570,0.25,214,technical,medium
571,0.44,137,technical,medium
572,0.73,252,technical,medium
573,0.75,243,technical,medium
574,0.36,148,technical,medium
575,0.37,151,technical,medium
576,0.39,129,technical,medium
577,0.48,198,technical,medium
578,0.57,275,technical,medium
579,0.9,243,technical,medium
580,0.39,159,technical,high
581,0.44,145,support,low
582,0.81,242,support,medium
583,0.74,242,support,medium
584,0.44,145,support,medium
585,0.41,154,support,medium
586,0.4,139,support,low
587,0.46,152,support,low
588,0.8,211,support,low
589,0.87,258,support,low
590,0.39,155,support,low
591,0.38,148,support,low
592,0.66,255,technical,low
593,0.1,264,technical,low
594,0.37,132,technical,low
595,0.1,255,management,low
596,0.09,263,IT,low
597,0.86,222,IT,low
598,0.11,263,IT,low
599,0.37,157,IT,low
600,0.11,307,IT,low
601,0.77,259,product_mng,low
602,0.84,222,product_mng,low
603,0.1,250,product_mng,low
604,0.83,245,product_mng,low
605,0.11,292,IT,low
606,0.86,252,RandD,low
607,0.38,161,RandD,medium
608,0.11,250,RandD,medium
609,0.45,134,RandD,medium
610,0.1,279,RandD,medium
611,0.09,256,marketing,medium
612,0.39,127,sales,medium
613,0.37,138,accounting,medium
614,0.81,243,support,medium
615,0.09,296,technical,medium
616,0.1,267,management,medium
617,0.39,144,marketing,medium
618,0.83,251,marketing,medium
619,0.45,148,marketing,high
620,0.43,141,sales,low
621,0.8,268,sales,medium
622,0.1,247,sales,medium
623,0.1,247,sales,medium
624,0.36,146,sales,medium
625,0.38,140,sales,low
626,0.78,263,sales,low
627,0.44,145,sales,low
628,0.41,156,sales,low
629,0.72,244,sales,low
630,0.46,144,sales,low
631,0.1,286,sales,low
632,0.34,141,sales,low
633,0.11,260,sales,low
634,0.38,154,sales,low
635,0.82,225,sales,low
636,0.39,127,sales,low
637,0.44,140,sales,low
638,0.43,147,sales,low
639,0.84,227,accounting,low
640,0.43,153,accounting,low
641,0.37,128,accounting,low
642,0.74,228,hr,low
643,0.73,235,hr,low
644,0.37,148,hr,low
645,0.58,238,hr,low
646,0.4,141,technical,medium
647,0.51,249,technical,medium
648,0.46,151,technical,medium
649,0.45,129,technical,medium
650,0.46,156,technical,medium
651,0.39,134,technical,medium
652,0.09,269,technical,medium
653,0.09,290,technical,medium
654,0.37,132,technical,medium
655,0.1,308,technical,medium
656,0.77,232,technical,medium
657,0.79,235,support,medium
658,0.43,130,support,high
659,0.38,146,support,low
660,0.77,221,support,medium
661,0.44,130,support,medium
662,0.39,136,support,medium
663,0.78,274,support,medium
664,0.1,256,support,low
665,0.1,276,support,low
666,0.75,267,support,low
667,0.46,213,support,low
668,0.91,274,technical,low
669,0.1,258,technical,low
670,0.72,153,technical,low
671,0.11,245,management,low
672,0.11,264,IT,low
673,0.46,154,IT,low
674,0.37,149,IT,low
675,0.46,157,IT,low
676,0.43,127,IT,low
677,0.11,270,product_mng,low
678,0.73,236,product_mng,low
679,0.43,158,product_mng,low
680,0.86,229,product_mng,low
681,0.1,269,IT,low
682,0.4,128,sales,low
683,0.11,278,sales,low
684,0.86,158,sales,low
685,0.42,202,sales,medium
686,0.79,240,sales,medium
687,0.1,255,marketing,medium
688,0.09,254,sales,medium
689,0.09,257,accounting,medium
690,0.87,228,support,medium
691,0.36,145,technical,medium
692,0.42,218,management,medium
693,0.84,268,marketing,medium
694,0.1,278,marketing,medium
695,0.78,249,marketing,medium
696,0.35,236,sales,medium
697,0.1,291,sales,high
698,0.11,306,sales,low
699,0.43,135,sales,medium
700,0.38,156,sales,medium
701,0.46,143,sales,medium
702,0.89,243,sales,medium
703,0.45,147,sales,low
704,0.44,159,sales,low
705,0.74,216,sales,low
706,0.45,152,sales,low
707,0.79,226,sales,low
708,0.79,271,sales,low
709,0.11,255,sales,low
710,0.42,140,sales,low
711,0.64,252,sales,low
712,0.4,159,sales,low
713,0.84,270,sales,low
714,0.73,232,sales,low
715,0.4,144,accounting,low
716,0.36,127,accounting,low
717,0.43,131,accounting,low
718,0.11,243,hr,low
719,0.91,244,hr,low
720,0.8,260,hr,low
721,0.42,139,hr,low
722,0.31,184,technical,low
723,0.44,130,technical,low
724,0.38,135,technical,medium
725,0.45,146,technical,medium
726,0.43,149,technical,medium
727,0.45,153,technical,medium
728,0.43,160,technical,medium
729,0.43,160,technical,medium
730,0.09,282,technical,medium
731,0.43,128,technical,medium
732,0.79,232,technical,medium
733,0.85,226,support,medium
734,0.38,129,support,medium
735,0.11,255,support,medium
736,0.83,258,support,high
737,0.81,229,support,low
738,0.42,143,support,medium
739,0.11,257,support,medium
740,0.11,275,support,medium
741,0.1,291,support,medium
742,0.5,153,support,low
743,0.44,154,support,low
744,0.11,301,technical,low
745,0.39,134,technical,low
746,0.11,245,technical,low
747,0.36,132,management,low
748,0.43,130,IT,low
749,0.4,127,IT,low
750,0.86,246,IT,low
751,0.38,145,IT,low
752,0.46,138,IT,low
753,0.37,129,product_mng,low
754,0.43,150,product_mng,low
755,0.66,253,product_mng,low
756,0.37,160,product_mng,low
757,0.77,235,IT,low
758,0.38,151,sales,low
759,0.39,127,sales,low
760,0.41,151,sales,low
761,0.1,290,sales,low
762,0.09,249,sales,low
763,0.41,131,marketing,medium
764,0.39,159,sales,medium
765,0.83,223,accounting,medium
766,0.09,214,support,medium
767,0.75,227,technical,medium
768,0.44,127,management,medium
769,0.1,293,marketing,medium
770,0.42,141,marketing,medium
771,0.1,300,marketing,medium
772,0.1,309,sales,medium
773,0.31,149,sales,medium
774,0.42,159,sales,medium
775,0.38,152,sales,high
776,0.39,158,sales,low
777,0.1,254,sales,medium
778,0.11,294,sales,medium
779,0.1,269,sales,medium
780,0.11,247,sales,medium
781,0.44,271,sales,low
782,0.91,232,sales,low
783,0.72,245,sales,low
784,0.36,132,sales,low
785,0.44,131,sales,low
786,0.85,248,sales,low
787,0.78,225,sales,low
788,0.39,156,sales,low
789,0.78,222,sales,low
790,0.1,243,sales,low
791,0.23,204,accounting,low
792,0.11,301,accounting,low
793,0.9,259,accounting,low
794,0.91,247,hr,low
795,0.11,295,hr,low
796,0.43,150,hr,low
797,0.45,151,hr,low
798,0.11,291,technical,low
799,0.11,253,technical,low
800,0.43,161,technical,low
801,0.91,251,technical,low
802,0.43,153,technical,medium
803,0.85,264,technical,medium
804,0.1,310,technical,medium
805,0.81,266,technical,medium
806,0.36,237,technical,medium
807,0.45,138,technical,medium
808,0.86,227,technical,medium
809,0.71,300,support,medium
810,0.11,310,support,medium
811,0.84,236,support,medium
812,0.09,288,support,medium
813,0.38,127,support,medium
814,0.15,139,support,high
815,0.1,253,support,low
816,0.8,218,support,medium
817,0.84,251,support,medium
818,0.11,264,support,medium
819,0.89,149,support,medium
820,0.45,138,technical,low
821,0.11,284,technical,low
822,0.74,244,technical,low
823,0.41,128,management,low
824,0.44,154,IT,low
825,0.37,138,IT,low
826,0.11,308,IT,low
827,0.1,269,IT,low
828,0.7,136,IT,low
829,0.59,160,product_mng,low
830,0.38,138,product_mng,low
831,0.72,220,product_mng,low
832,0.73,274,product_mng,low
833,0.39,161,IT,low
834,0.89,224,RandD,low
835,0.89,260,RandD,low
836,0.11,300,RandD,low
837,0.43,133,RandD,low
838,0.09,308,RandD,low
839,0.81,238,marketing,low
840,0.37,126,sales,low
841,0.36,138,accounting,medium
842,0.11,299,support,medium
843,0.1,254,technical,medium
844,0.66,156,management,medium
845,0.39,152,marketing,medium
846,0.44,146,marketing,medium
847,0.1,253,marketing,medium
848,0.79,227,sales,medium
849,0.1,301,sales,medium
850,0.54,294,sales,medium
851,0.37,151,sales,medium
852,0.37,128,sales,medium
853,0.82,217,sales,high
854,0.45,160,sales,low
855,0.79,263,sales,medium
856,0.42,156,sales,medium
857,0.1,273,sales,medium
858,0.11,303,sales,medium
859,0.74,253,sales,low
860,0.1,270,sales,low
861,0.79,218,sales,low
862,0.43,144,sales,low
863,0.41,154,sales,low
864,0.39,146,sales,low
865,0.1,260,sales,low
866,0.82,218,sales,low
867,0.41,128,accounting,low
868,0.42,128,accounting,low
869,0.74,248,accounting,low
870,0.38,152,hr,low
871,0.39,126,hr,low
872,0.87,260,hr,low
873,0.1,263,hr,low
874,0.78,220,technical,low
875,0.14,282,technical,low
876,0.11,277,technical,low
877,0.91,257,technical,low
878,0.49,265,technical,low
879,0.38,143,technical,low
880,0.82,263,technical,medium
881,0.38,154,technical,medium
882,0.89,253,technical,medium
883,0.11,294,technical,medium
884,0.37,128,technical,medium
885,0.38,153,support,medium
886,0.78,256,support,medium
887,0.41,127,support,medium
888,0.41,137,support,medium
889,0.11,295,support,medium
890,0.11,281,support,medium
891,0.43,131,support,medium
892,0.75,237,support,high
893,0.74,276,support,low
894,0.85,267,support,medium
895,0.73,266,support,medium
896,0.1,294,technical,medium
897,0.44,134,technical,medium
898,0.3,309,technical,low
899,0.11,273,management,low
900,0.84,238,IT,low
901,0.78,271,IT,low
902,0.43,145,IT,low
903,0.36,152,IT,low
904,0.43,128,IT,low
905,0.45,142,product_mng,low
906,0.76,238,product_mng,low
907,0.1,286,product_mng,low
908,0.09,291,product_mng,low
909,0.92,259,IT,low
910,0.92,248,sales,low
911,0.79,271,sales,low
912,0.43,140,sales,low
913,0.8,274,sales,low
914,0.44,127,sales,low
915,0.89,275,marketing,low
916,0.48,239,sales,low
917,0.11,304,accounting,low
918,0.38,145,support,low
919,0.11,259,technical,medium
920,0.82,264,management,medium
921,0.37,160,marketing,medium
922,0.4,138,marketing,medium
923,0.43,137,marketing,medium
924,0.44,156,sales,medium
925,0.42,147,sales,medium
926,0.11,243,sales,medium
927,0.78,236,sales,medium
928,0.46,212,sales,medium
929,0.77,261,sales,medium
930,0.83,243,sales,medium
931,0.32,271,sales,high
932,0.9,154,sales,low
933,0.42,151,sales,medium
934,0.1,254,sales,medium
935,0.1,285,sales,medium
936,0.44,130,sales,medium
937,0.1,301,sales,low
938,0.11,286,sales,low
939,0.1,246,sales,low
940,0.39,135,sales,low
941,0.92,245,sales,low
942,0.43,136,sales,low
943,0.11,301,accounting,low
944,0.81,235,accounting,low
945,0.11,272,accounting,low
946,0.87,274,hr,low
947,0.37,131,hr,low
948,0.39,135,hr,low
949,0.61,196,hr,low
950,0.11,285,technical,low
951,0.09,289,technical,low
952,0.36,157,technical,low
953,0.09,308,technical,low
954,0.41,301,technical,low
955,0.4,131,technical,low
956,0.1,262,technical,low
957,0.46,143,technical,low
958,0.39,133,technical,medium
959,0.41,153,technical,medium
960,0.1,281,technical,medium
961,0.39,132,support,medium
962,0.73,270,support,medium
963,0.41,150,support,medium
964,0.37,140,support,medium
965,0.38,150,support,medium
966,0.8,180,support,medium
967,0.09,281,support,medium
968,0.85,275,support,medium
969,0.42,130,support,medium
970,0.41,130,support,high
971,0.38,147,support,low
972,0.72,264,technical,medium
973,0.11,290,technical,medium
974,0.37,150,technical,medium
975,0.1,304,management,medium
976,0.36,136,IT,low
977,0.92,307,IT,low
978,0.11,303,IT,low
979,0.39,156,IT,low
980,0.11,271,IT,low
981,0.45,140,product_mng,low
982,0.44,130,product_mng,low
983,0.85,266,product_mng,low
984,0.43,139,product_mng,low
985,0.75,260,IT,low
986,0.11,137,RandD,low
987,0.36,158,RandD,low
988,0.1,249,RandD,low
989,0.74,259,RandD,low
990,0.4,144,RandD,low
991,0.09,244,marketing,low
992,0.76,219,sales,low
993,0.45,151,accounting,low
994,0.84,269,support,low
995,0.38,127,technical,low
996,0.38,144,management,low
997,0.38,157,marketing,medium
998,0.86,224,marketing,medium
999,0.37,155,marketing,medium
1000,0.37,131,sales,medium
1001,0.87,258,sales,medium
1002,0.11,267,sales,medium
1003,0.42,141,sales,medium
1004,0.43,160,sales,medium
1005,0.09,247,sales,medium
1006,0.54,260,sales,medium
1007,0.4,151,sales,medium
1008,0.36,137,sales,medium
1009,0.87,256,sales,high
1010,0.75,239,sales,low
1011,0.43,152,sales,medium
1012,0.43,149,sales,medium
1013,0.1,284,sales,medium
1014,0.11,248,sales,medium
1015,0.44,156,sales,low
1016,0.39,138,sales,low
1017,0.4,155,sales,low
1018,0.92,229,sales,low
1019,0.36,136,accounting,low
1020,0.86,241,accounting,low
1021,0.74,258,accounting,low
1022,0.8,146,hr,low
1023,0.36,145,hr,low
1024,0.42,159,hr,low
1025,0.42,129,hr,low
1026,0.4,142,technical,low
1027,0.46,129,technical,low
1028,0.09,287,technical,low
1029,0.88,275,technical,low
1030,0.1,272,technical,low
1031,0.1,307,technical,low
1032,0.11,295,technical,low
1033,0.84,237,technical,low
1034,0.42,158,technical,low
1035,0.1,266,technical,low
